"ID","ADU","TAXON CONCEPT ID","SCIENTIFIC NAME"
372,155,avibase-C2AD2E83,Buteo trizonatus
373,63,avibase-78B4A393,Butorides striata
374,1474,avibase-2F7DCF91,Bycanistes albotibialis
375,423,avibase-5350D0E8,Bycanistes brevis
376,422,avibase-3A4D2B44,Bycanistes bucinator
377,1478,avibase-F03111B9,Bycanistes cylindricus
378,1482,avibase-2AAFDD00,Bycanistes fistulator
379,1484,avibase-02428AC1,Bycanistes subcylindricus
380,5229,avibase-91B94FDB,Cacicus sclateri
381,10003,avibase-8DE14046,Cairina moschata
382,614,avibase-A3265EBB,Calamonastes fasciolatus
383,3090,avibase-0195CFDD,Calamonastes simplex
384,615,avibase-13F7A4F9,Calamonastes stierlingi
385,3092,avibase-1E7CADC2,Calamonastes undosus
386,1067,avibase-25F4FE96,Calamonastides gracilirostris
387,3478,avibase-7F3B3206,Calandrella blanfordi
388,3486,avibase-4091A51E,Calandrella brachydactyla
389,488,avibase-FCDA4F09,Calandrella cinerea
390,3480,avibase-FE025DB1,Calandrella erlangeri
391,4000,avibase-3534E4CE,Calcarius lapponicus
392,459,avibase-B14CE06F,Calendulauda africanoides
393,461,avibase-DD338581,Calendulauda albescens
394,3522,avibase-CF870445,Calendulauda alopex
395,1037,avibase-D5272A4C,Calendulauda barlowi
396,479,avibase-E591A2D7,Calendulauda burra
397,480,avibase-214FC464,Calendulauda erythrochlamys
398,3520,avibase-99F447AD,Calendulauda poecilosterna
399,460,avibase-DC38D1DA,Calendulauda sabota
400,2332,avibase-1C857735,Calicalicus madagascariensis
401,2334,avibase-0CAB08FA,Calicalicus rufocarpalis
402,5256,avibase-A0A67A81,Calidris acuminata
403,255,avibase-06B9BD24,Calidris alba
404,896,avibase-15369E8E,Calidris alpina
405,252,avibase-1F1AD154,Calidris bairdii
406,254,avibase-B5CE8FAD,Calidris canutus
407,981,avibase-0A14882F,Calidris falcinellus
408,251,avibase-143A681C,Calidris ferruginea
409,997,avibase-153BA306,Calidris fuscicollis
410,1976,avibase-0A0B8431,Calidris maritima
411,895,avibase-ACC99F35,Calidris melanotos
412,253,avibase-9936FF4A,Calidris minuta
413,256,avibase-2DABF98F,Calidris pugnax
414,1978,avibase-F35821AA,Calidris pusilla
415,897,avibase-BBDF2F1B,Calidris ruficollis
416,972,avibase-7D629288,Calidris subminuta
417,926,avibase-3A3C62BC,Calidris subruficollis
418,985,avibase-5ACF7FB3,Calidris temminckii
419,1980,avibase-09C51FA9,Calidris tenuirostris
420,2594,avibase-786B0F98,Calliope calliope
421,1052,avibase-95418926,Calliope pectoralis
422,5271,avibase-45C1096F,Callonetta leucophrys
423,10702,avibase-710BB4E6,Calonectris borealis
424,26,avibase-710BB4E6,Calonectris borealis
425,14192,avibase-CA4D268D,Calonectris diomedea
426,10703,avibase-CA4D268D,Calonectris diomedea
427,2228,avibase-D6AB20A5,Calonectris edwardsii
428,1033,avibase-13B165A3,Calonectris leucomelas
429,2970,avibase-3B3C39F1,Calyptocichla serinus
430,627,avibase-9DACBD08,Camaroptera brachyura
431,628,avibase-4183643D,Camaroptera brevicaudata
432,1189,avibase-65393B92,Camaroptera chloronota
433,4193,avibase-B38ABEF9,Camaroptera harterti
434,3094,avibase-63220C79,Camaroptera superciliaris
435,513,avibase-F9031A09,Campephaga flava
436,2340,avibase-95A02709,Campephaga petiti
437,2342,avibase-439F76D1,Campephaga phoenicea
438,2344,avibase-37D0D696,Campephaga quiscalina
439,447,avibase-CD2F7C98,Campethera abingoni
440,446,avibase-FD3EA943,Campethera bennettii
441,449,avibase-F234B7E3,Campethera cailliautii
442,1368,avibase-01C9752D,Campethera caroli
443,1370,avibase-6BB61A61,Campethera maculosa
444,1366,avibase-BA63C545,Campethera mombassica
445,1188,avibase-02E56D98,Pardipicus  nivosa
446,448,avibase-63BE6621,Campethera notata
447,1372,avibase-70170649,Campethera nubica
448,1374,avibase-390F1E35,Campethera punctuligera
449,907,avibase-C5585051,Campethera scriptoricauda
450,10987,avibase-D0A5FADB,Campethera taeniolaema
451,1376,avibase-D2718676,Campethera tullbergi
452,569,avibase-916C5AED,Campicoloides bifasciatus
453,173,avibase-ECD7C1D8,Campocolinus coqui
454,1926,avibase-047A7C80,Canirallus kioloides
455,1928,avibase-AF31F966,Canirallus oculeus
456,1808,avibase-2F7F0244,Caprimulgus aegyptius
457,1810,avibase-CCA7AB2D,Caprimulgus batesi
458,1814,avibase-54494BCE,Caprimulgus clarus
459,1816,avibase-A20EA34D,Caprimulgus climacurus
460,1818,avibase-D1D9B619,Caprimulgus donaldsoni
461,371,avibase-80D4B0FE,Caprimulgus europaeus
462,1822,avibase-589694DD,Caprimulgus eximius
463,376,avibase-4FD242D0,Caprimulgus fossii
464,1824,avibase-E93A0F33,Caprimulgus fraenatus
465,1826,avibase-7C3959D6,Caprimulgus inornatus
466,1838,avibase-D36F4D98,Caprimulgus longipennis
467,1828,avibase-0F8EB10D,Caprimulgus madagascariensis
468,375,avibase-52E6406E,Caprimulgus natalensis
469,1806,avibase-AB8E1D95,Caprimulgus nigriscapularis
470,1830,avibase-626D56E4,Caprimulgus nubicus
471,373,avibase-7E3578A2,Caprimulgus pectoralis
472,357,avibase-FB96690D,Caprimulgus poliocephalus
473,1832,avibase-4B58353A,Caprimulgus prigoginei
474,1834,avibase-6CC3D04B,Caprimulgus ruficollis
475,372,avibase-05E2FB2A,Caprimulgus rufigena
476,1840,avibase-1DD39E63,Caprimulgus ruwenzorii
477,1804,avibase-4535D9AB,Caprimulgus solala
478,1836,avibase-CE884D49,Caprimulgus stellatus
479,374,avibase-E3C780D6,Caprimulgus tristigma
480,377,avibase-A526534E,Caprimulgus vexillarius
481,4004,avibase-1B235E00,Carduelis carduelis
482,4092,avibase-039E0011,Carduelis citrinella
483,4014,avibase-3A713345,Carpodacus erythrinus
484,4016,avibase-8F36D663,Carpodacus synoicus
485,3720,avibase-B1A5B22C,Carpospiza brachydactyla
486,503,avibase-5ACC908D,Cecropis abyssinica
487,502,avibase-3160A924,Cecropis cucullata
488,962,avibase-3690F067,Cecropis daurica
489,2882,avibase-0D8DB4AE,Cecropis domicella
490,501,avibase-958F4A5E,Cecropis semirufa
491,500,avibase-9185D29D,Cecropis senegalensis
492,1624,avibase-120AEEC0,Centropus anselli
493,4131,avibase-6C342FFF,Centropus burchellii
494,354,avibase-DD7B1DD7,Centropus cupreicaudus
495,353,avibase-DB09507D,Centropus grillii
496,1626,avibase-A0CB9C06,Centropus leucogaster
497,1628,avibase-7C879D6D,Centropus monachus
498,355,avibase-4A83155B,Centropus senegalensis
499,1036,avibase-4B2A7A35,Centropus superciliosus
500,1630,avibase-6F7BCBE5,Centropus toulou
501,1476,avibase-C05BF908,Ceratogymna atrata
502,1480,avibase-CBC236C2,Ceratogymna elata
503,1592,avibase-D64491E4,Cercococcyx mechowi
504,923,avibase-B8D42059,Cercococcyx montanus
505,1594,avibase-CB8FBD65,Cercococcyx olivinus
506,2554,avibase-8CFA2604,Cercotrichas barbata
507,583,avibase-B796DBCB,Cercotrichas coryphoeus
508,567,avibase-B68BD0D2,Cercotrichas galactotes
509,2556,avibase-15B2DD49,Cercotrichas hartlaubi
510,588,avibase-B5B6EC7B,Cercotrichas leucophrys
511,1182,avibase-712C7EA0,Cercotrichas leucosticta
512,586,avibase-C1EF6940,Cercotrichas paena
513,2558,avibase-6D92499B,Cercotrichas podobe
514,585,avibase-92908926,Cercotrichas quadrivirgata
515,584,avibase-231FD09E,Cercotrichas signata
516,2844,avibase-552E2BA9,Certhia brachydactyla
517,4124,avibase-E42D0008,Certhilauda benguelensis
518,4123,avibase-A80B0AC0,Certhilauda brevirostris
519,465,avibase-3244C204,Certhilauda chuana
520,4125,avibase-BEC2F8B6,Certhilauda curvirostris
521,4126,avibase-56599D6D,Certhilauda semitorquata
522,4127,avibase-69573E9E,Certhilauda subcoronata
523,394,avibase-8205077F,Ceryle rudis
524,3252,avibase-F3E9CE95,Cettia cetti
525,1596,avibase-E0D521B7,Ceuthmochares aereus
526,358,avibase-3A46A20C,Ceuthmochares australis
527,1038,avibase-CB9159AF,Chaetops aurantius
528,540,avibase-EE344F3D,Chaetops frenatus
529,3604,avibase-59EE3B94,Chalcomitra adelberti
530,772,avibase-B022292C,Chalcomitra amethystina
531,3606,avibase-98E4ABFF,Chalcomitra balfouri
532,3608,avibase-23BEFB19,Chalcomitra fuliginosa
533,3610,avibase-8F052626,Chalcomitra hunteri
534,1116,avibase-2E2DE0B6,Chalcomitra rubescens
535,774,avibase-0059A2E0,Chalcomitra senegalensis
536,946,avibase-4ACA4C5C,Chamaetylas fuelleborni
537,1109,avibase-8B7A6FE9,Chamaetylas poliocephala
538,2542,avibase-F71CDDC8,Chamaetylas poliophrys
539,2002,avibase-0A787822,Charadrius alexandrinus
540,240,avibase-264D0351,Charadrius asiaticus
541,955,avibase-35EC3BBF,Charadrius dubius
542,956,avibase-4EBB9A28,Charadrius forbesi
543,233,avibase-EDA37B7C,Charadrius hiaticula
544,239,avibase-98B9C10B,Charadrius leschenaultii
545,235,avibase-214B3533,Charadrius marginatus
546,234,avibase-66DA1FB3,Charadrius mongolus
547,2006,avibase-1FFFEF4E,Charadrius morinellus
548,236,avibase-61F0E581,Charadrius pallidus
